wall_time,step,value,tag,source_file
1788850672.2192705,2430,0.7164363861083984,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788850745.765599,2484,0.6990423202514648,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788850820.5172865,2538,0.6996228694915771,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788850895.300438,2592,0.6782267093658447,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788850967.2394428,2646,0.727766752243042,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851040.3461742,2700,0.7063248157501221,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851111.6025174,2754,0.6875464916229248,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851184.5914483,2808,0.6679604053497314,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851256.0554729,2862,0.6918673515319824,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851327.5398128,2916,0.6698088645935059,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851402.1319811,2970,0.7097537517547607,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851473.3309255,3024,0.6930241584777832,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851543.8826637,3078,0.6924018859863281,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851618.4613416,3132,0.6837093830108643,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851692.5870483,3186,0.6972272396087646,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851764.89376,3240,0.6963129043579102,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851837.1552076,3294,0.7362198829650879,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851909.4933543,3348,0.6912648677825928,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788851981.4469616,3402,0.6723792552947998,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852054.9005017,3456,0.7225437164306641,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852125.7932572,3510,0.6796422004699707,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852198.4491503,3564,0.6998999118804932,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852268.299163,3618,0.6962435245513916,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852341.4799044,3672,0.7080247402191162,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852415.523469,3726,1.5788676738739014,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852487.8980372,3780,0.6945717334747314,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852558.5410378,3834,0.6808323860168457,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852630.472267,3888,0.7282192707061768,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852705.3331425,3942,0.6944332122802734,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852776.7690132,3996,0.6925115585327148,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852850.1519537,4050,0.7085466384887695,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852921.0872626,4104,0.6886272430419922,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788852992.0031066,4158,0.6683545112609863,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788853067.3544035,4212,0.708446741104126,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788853139.985644,4266,0.6805047988891602,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788853215.123714,4320,0.6994900703430176,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788858746.668561,4321,0.5724260807037354,EvalStats/avg_loader_time,events.out.tfevents.1788858557.70e4c9446eae.170.0
1788853286.041062,4374,0.6965773105621338,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788858822.353044,4375,0.581904411315918,EvalStats/avg_loader_time,events.out.tfevents.1788858557.70e4c9446eae.170.0
1788853356.5512137,4428,0.6698129177093506,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788858896.9258895,4429,0.5681354999542236,EvalStats/avg_loader_time,events.out.tfevents.1788858557.70e4c9446eae.170.0
1788853427.9001484,4482,0.684776782989502,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788858970.4481091,4483,0.5643596649169922,EvalStats/avg_loader_time,events.out.tfevents.1788858557.70e4c9446eae.170.0
1788853499.5126865,4536,0.6830832958221436,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788859042.558962,4537,0.5780973434448242,EvalStats/avg_loader_time,events.out.tfevents.1788858557.70e4c9446eae.170.0
1788853573.0956821,4590,0.66693115234375,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788859116.338625,4591,0.591177225112915,EvalStats/avg_loader_time,events.out.tfevents.1788858557.70e4c9446eae.170.0
1788853643.5255795,4644,0.7030279636383057,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788859189.6827114,4645,0.5728144645690918,EvalStats/avg_loader_time,events.out.tfevents.1788858557.70e4c9446eae.170.0
1788853714.536981,4698,0.6919944286346436,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788859262.1933818,4699,0.6089577674865723,EvalStats/avg_loader_time,events.out.tfevents.1788858557.70e4c9446eae.170.0
1788853787.427017,4752,0.7096254825592041,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788859334.6186907,4753,0.5984430313110352,EvalStats/avg_loader_time,events.out.tfevents.1788858557.70e4c9446eae.170.0
1788853860.0591404,4806,0.6950318813323975,EvalStats/avg_loader_time,events.out.tfevents.1788847201.edb6b53e03c7.226.0
1788859405.16036,4807,0.6029090881347656,EvalStats/avg_loader_time,events.out.tfevents.1788858557.70e4c9446eae.170.0
