checkpoint,size_mb,step,epoch,date,n_params,train_loss,eval_loss
best_model.pth,951.6,51837,33,"September 09, 2026",83051308,17.980284724595414,18.221116065979004
best_model_51837.pth,951.6,51837,33,"September 09, 2026",83051308,17.980284724595414,18.221116065979004
checkpoint_20000.pth,951.6,20000,291,"September 08, 2026",83051308,18.079256653785706,
checkpoint_30000.pth,951.6,30000,185,"September 08, 2026",83051308,17.885717749595642,
checkpoint_40000.pth,951.6,40000,370,"September 09, 2026",83051308,17.917315351335628,
checkpoint_50000.pth,951.6,50000,185,"September 09, 2026",83051308,18.595576339297825,
