wall_time,step,value,tag
1788346827.7048128,0,5.998387813568115,TrainIterStats/loss_disc
1788347103.2287114,100,0.5938118696212769,TrainIterStats/loss_disc
1788347539.039139,200,2.3224575519561768,TrainIterStats/loss_disc
1788346827.7049532,0,1.0162739753723145,TrainIterStats/loss_disc_real_0
1788347103.228804,100,0.05755005031824112,TrainIterStats/loss_disc_real_0
1788347539.0392315,200,0.0809781476855278,TrainIterStats/loss_disc_real_0
1788346827.7049909,0,1.0277684926986694,TrainIterStats/loss_disc_real_1
1788347103.228832,100,0.05130981653928757,TrainIterStats/loss_disc_real_1
1788347539.039263,200,0.26438021659851074,TrainIterStats/loss_disc_real_1
1788346827.7050066,0,0.9987946152687073,TrainIterStats/loss_disc_real_2
1788347103.228845,100,0.028478315100073814,TrainIterStats/loss_disc_real_2
1788347539.0392776,200,0.24789956212043762,TrainIterStats/loss_disc_real_2
1788346827.7050185,0,0.9992454051971436,TrainIterStats/loss_disc_real_3
1788347103.228855,100,0.046354517340660095,TrainIterStats/loss_disc_real_3
1788347539.0392897,200,0.232127383351326,TrainIterStats/loss_disc_real_3
1788346827.7050283,0,0.9683781862258911,TrainIterStats/loss_disc_real_4
1788347103.2288666,100,0.05054493993520737,TrainIterStats/loss_disc_real_4
1788347539.039301,200,0.22607313096523285,TrainIterStats/loss_disc_real_4
1788346827.7050385,0,0.9873685836791992,TrainIterStats/loss_disc_real_5
1788347103.2288766,100,0.04119729995727539,TrainIterStats/loss_disc_real_5
1788347539.0393116,200,0.2185841202735901,TrainIterStats/loss_disc_real_5
1788346827.7050493,0,5.998387813568115,TrainIterStats/loss_0
1788347103.2288866,100,0.5938118696212769,TrainIterStats/loss_0
1788347539.0393236,200,2.3224575519561768,TrainIterStats/loss_0
1788346827.705062,0,0.0,TrainIterStats/grad_norm_0
1788347103.2294536,100,9.487348556518555,TrainIterStats/grad_norm_0
1788347539.039834,200,3.4245922565460205,TrainIterStats/grad_norm_0
1788346827.7050726,0,5.9975152015686035,TrainIterStats/loss_gen
1788347103.2295196,100,4.13561487197876,TrainIterStats/loss_gen
1788347539.0399036,200,2.25028133392334,TrainIterStats/loss_gen
1788346827.705083,0,312.57989501953125,TrainIterStats/loss_kl
1788347103.2295434,100,3.2146975994110107,TrainIterStats/loss_kl
1788347539.0399468,200,2.284193992614746,TrainIterStats/loss_kl
1788346827.7058334,0,0.7019603848457336,TrainIterStats/loss_feat
1788347103.229575,100,11.027021408081055,TrainIterStats/loss_feat
1788347539.0399718,200,3.759361743927002,TrainIterStats/loss_feat
1788346827.7058554,0,83.65469360351562,TrainIterStats/loss_mel
1788347103.2295876,100,43.82661819458008,TrainIterStats/loss_mel
1788347539.039993,200,35.12980651855469,TrainIterStats/loss_mel
1788346827.7058702,0,1.7869073152542114,TrainIterStats/loss_duration
1788347103.229598,100,1.8177595138549805,TrainIterStats/loss_duration
1788347539.0400143,200,2.3069262504577637,TrainIterStats/loss_duration
1788346827.7058825,0,32768.0,TrainIterStats/amp_scaler
1788347103.2296073,100,512.0,TrainIterStats/amp_scaler
1788347539.0400248,200,512.0,TrainIterStats/amp_scaler
1788346827.705895,0,404.7209777832031,TrainIterStats/loss_1
1788347103.229617,100,64.02171325683594,TrainIterStats/loss_1
1788347539.0400362,200,45.73057174682617,TrainIterStats/loss_1
1788346827.7059088,0,0.0,TrainIterStats/grad_norm_1
1788347103.230018,100,158.29891967773438,TrainIterStats/grad_norm_1
1788347539.0404158,200,280.2792663574219,TrainIterStats/grad_norm_1
1788346827.705966,0,0.00019999999494757503,TrainIterStats/current_lr_0
1788347103.2300797,100,0.00019999999494757503,TrainIterStats/current_lr_0
1788347539.0404944,200,0.00019999999494757503,TrainIterStats/current_lr_0
1788346827.7060096,0,0.00019999999494757503,TrainIterStats/current_lr_1
1788347103.2301023,100,0.00019999999494757503,TrainIterStats/current_lr_1
1788347539.0405183,200,0.00019999999494757503,TrainIterStats/current_lr_1
1788346827.706023,0,18.219100952148438,TrainIterStats/step_time
1788347103.2301269,100,4.7133002281188965,TrainIterStats/step_time
1788347539.0405467,200,5.879199981689453,TrainIterStats/step_time
1788346827.706035,0,3.3173999786376953,TrainIterStats/loader_time
1788347103.230139,100,0.013000000268220901,TrainIterStats/loader_time
1788347539.0405607,200,0.022199999541044235,TrainIterStats/loader_time
